store_name,year,month,coverage_rate_pct,vs_usage_rate_pct,comparisons_total,vs_conversion_rate_pct,purchase_compare_total,vs_compare_share_pct,vs_recommend_share_pct,total_vs_share_pct,conversion_rate_uplift_pct,vs_user_aov,non_vs_user_aov,all_conversion_rate,pv_total,pv_vs_total,clicks_total,reco_total,purchase_all_total,purchase_recommend_total,pv_uu,pv_vs_uu,clicks_uu,comparisons_uu,reco_uu,purchase_all_uu,purchase_compare_uu,purchase_recommend_uu,month_start,month_end,month_label
edwin,2024,8,78.73,3.24,27767,4.75,1320,20.22,17.63,37.85,905.32,11571.26715,11755.82813,0.599050769,1089724,857954,29096,193226,6528,1151,341752,227764,14562,12869,22202,3875,1024,736,8,8,Aug
edwin,2024,9,80.98,3.32,35186,4.96,1746,21.6,18.02,39.62,976.79,11243.18564,11257.52028,0.618014645,1307736,1058956,35805,247015,8082,1456,403293,273223,18837,16391,25941,4807,1351,940,9,9,Sep
edwin,2024,10,80.53,2.87,35524,3.81,1354,21.51,15.42,36.93,1087.18,14533.18172,14197.7643,0.409975662,1535457,1236549,36911,240978,6295,971,504878,356521,19509,16986,27109,4077,1100,699,10,10,Oct
edwin,2024,11,80.78,3.44,56380,3.98,2245,21.45,17.17,38.62,915.12,14115.12681,13607.4645,0.516248636,2027124,1637440,56149,357450,10465,1797,614783,408010,28305,24940,37575,7007,1775,1282,11,11,Nov
edwin,2024,12,84.16,3.53,55840,4.14,2309,23.18,24.62,47.8,1159.39,13412.98948,13373.70537,0.529371848,1881853,1583742,55194,392515,9962,2453,514015,384905,27982,25152,39428,6683,1957,1756,12,12,Dec
edwin,2025,1,83.14,4.95,1058,11.91,126,19.91,42.5,62.4,970.53,15648.21918,12911.61905,2.459972019,25732,21394,802,8528,633,269,6751,5422,430,401,1520,448,103,184,1,1,Jan
barneys_japan,2025,2,62.61,3.78,6393,2.06,132,8.31,6.74,15.05,158.84,29569.06878,19753.27513,0.58794128,270095,169113,4180,23999,1588,107,83402,44894,2488,2330,4266,871,103,80,2,2,Feb
barneys_japan,2025,3,66.52,3.09,9188,3.31,304,11.25,8.25,19.5,352.22,36567.4026,21697.91336,0.604596004,446910,297274,6496,38646,2702,223,152255,82766,3645,3392,5814,1650,237,138,3,3,Mar
barneys_japan,2025,4,66.03,3.3,13739,2.98,410,10.78,11.78,22.56,321.36,28721.06167,19939.96708,0.603821984,629987,415962,9856,67071,3804,448,182761,99694,5282,4880,8107,2244,330,266,4,4,Apr
barneys_japan,2025,5,40.93,3.28,14365,3,431,10.62,10.3,20.92,309.46,25682.01303,20417.32437,0.37925978,1069979,437939,10371,69969,4058,418,575210,109331,5705,5326,8798,2527,334,278,5,5,May
barneys_japan,2025,6,67.56,2.91,13087,3.98,521,10.73,12.46,23.19,380.13,29524.87531,21710.64455,0.729307623,665837,449856,9831,75631,4856,605,228449,111641,5377,4969,8529,2778,411,368,6,6,Jun
barneys_japan,2025,Feb-Jun,57.42,3.21,56772,3.17,1798,10.57,10.59,21.16,318.09,29477.59411,20807.69164,0.551704809,3082808,1770144,40734,275316,17008,1801,1146812,386240,20354,18830,22084,9229,1359,973,2,6,Feb–Jun
barneys_japan,2024,Feb-Jun,64.76,4.98,151485,2.44,3695,11.03,7.69,18.73,172.34,33774.52155,23848.82786,0.713655922,4693158,3039309,106009,435647,33493,2577,1343567,641588,53542,49696,34339,16879,2885,1409,2,6,Feb–Jun
ralph_lauren,2025,1,77.79,3.11,127181,2.35,2995,17.13,15.25,32.38,714.83,37258.52362,24579.79304,0.332476008,5257823,4089892,127175,836949,17481,2666,1153480,618787,53360,47623,60812,9604,2298,1306,1,1,Jan
ralph_lauren,2025,2,65.45,3.22,69461,2.03,1411,16.93,11.22,28.15,632.21,34825.57951,25497.73984,0.252741163,3297049,2158044,67546,423449,8333,935,953167,406365,32564,29396,40652,5501,1187,632,2,2,Feb
ralph_lauren,2025,3,75.69,3.25,99082,1.78,1765,19.66,11.83,31.49,784.18,38843.34198,27125.82096,0.222582518,4033111,3052570,88457,482042,8977,1062,1077824,603480,46141,42171,47811,6166,1539,722,3,3,Mar
ralph_lauren,2025,4,73.38,3.26,86468,2.05,1773,17.57,12.16,29.73,667.9,37353.77358,24829.39806,0.278831494,3618673,2655202,78377,490284,10090,1227,958592,484078,40114,36574,45107,6889,1512,815,4,4,Apr
ralph_lauren,2025,5,72.86,2.94,80462,2.13,1714,15.24,8.67,23.9,580.34,34895.9272,22585.84668,0.299775608,3752807,2734202,72601,431646,11250,975,1152721,594918,40454,36283,46418,7497,1475,656,5,5,May
ralph_lauren,2025,6,76.98,4.96,112702,3.64,4104,17.34,10.14,27.49,382.47,35483.92415,25373.73111,0.801240211,2953047,2273190,111162,415880,23661,2400,1015746,668828,60415,53423,54082,11939,3275,1440,6,6,Jun
ralph_lauren,2025,7,74.95,4.42,105176,3.41,3584,15.06,10.5,25.57,358.26,34065.42463,22944.473,0.748752132,3177420,2381366,107123,453216,23791,2499,807349,630124,58380,51503,58804,11965,2877,1520,7,7,Jul
marui,2025,1,42.72,1.18,103440,5.21,5394,1.59,8.55,10.14,50.18,13009.99538,9292.416817,1.6508538,20571961,8788661,70929,1760906,339613,29048,9642488,2654940,29337,24602,112901,168075,4224,17008,1,1,Jan
marui,2025,2,41.41,1.11,83488,5.21,4352,1.53,8.2,9.74,52.92,11416.5593,8686.424401,1.56403263,18140798,7512883,54597,1487259,283728,23273,8851581,2337226,23769,20241,98615,146697,3475,13967,2,2,Feb
marui,2025,3,42.57,1.18,118357,5.85,6919,1.38,7.84,9.22,29.42,12294.87316,9504.012725,2.117921625,23647995,10065856,74649,2124475,500846,39247,10443542,2832689,31076,26575,122085,214094,5280,20985,3,3,Mar
marui,2025,4,47.38,1.09,78555,5.52,4334,1.54,9.18,10.72,57.94,10786.48684,8544.704978,1.853487724,15207654,7204670,52362,1556342,281872,25871,6968838,2170751,22329,19267,103548,139032,3285,14439,4,4,Apr
marui,2025,5,39.67,1.21,83694,6.54,5477,1.4,8.59,9.99,28.77,10870.85802,8698.166684,2.239504346,17446673,6920410,60448,1770267,390719,33558,6988027,1633649,26226,22101,112741,188105,4064,18338,5,5,May
marui,2025,6,36.9,1.1,66658,6.85,4564,1.24,8.01,9.25,24.48,10474.77166,8574.937406,2.236619018,16402570,6052414,51333,1546806,366863,29387,7403354,1546159,22780,19240,107269,167053,3441,16448,6,6,Jun
marui,2025,7,38.33,1.09,72452,6.29,4556,1.32,8.25,9.57,34.08,9409.915853,8232.391053,1.988112228,17339162,6646559,56197,1658462,344722,28444,4891100,1646597,24273,20614,104954,163097,3451,16358,7,7,Jul
world,2025,Feb–Jun,76.74,1.78,2484904,5.26,130720,5.53,24.89,30.43,347.58,16224.19864,13216.92277,1.296363481,182216256,139830600,1759580,42645813,2362185,587994,19726542,10341869,389175,350896,556068,517051,60311,140054,2,6,Feb–Jun
re_edit,2025,1,82.61,3.38,18603,0.23,42,12.61,18.92,31.53,444.83,10288.52941,8569.21,0.049996247,666050,550212,20507,124249,333,63,186694,153892,11252,10573,16543,149,30,33,1,1,Jan
re_edit,2025,2,83.26,3.3,16313,,,,,,,,,,593415,494048,17840,117052,,,161306,134712,10228,9537,15749,0,0,0,2,2,Feb
re_edit,2025,3,81.37,3.41,15626,4.69,733,12.43,21.6,34.03,452.04,8968.786965,7946.863099,1.0481085,562728,457905,17339,109331,5898,1274,159801,127868,9974,9346,15351,2629,550,645,3,3,Mar
re_edit,2025,4,82.25,3.78,16051,5.83,935,11.87,22.88,34.75,381.22,9645.038231,8742.05241,1.525793405,516256,424619,17454,102583,7877,1802,149368,118989,10066,9428,15110,3216,665,834,4,4,Apr
re_edit,2025,5,81.53,3.81,15612,5.81,907,12.22,22.33,34.55,390.19,9596.774118,8690.23364,1.476339791,502933,410066,16407,100927,7425,1658,141859,113525,9178,8589,13966,2986,633,796,5,5,May
re_edit,2025,6,81.44,3.73,13357,6.42,857,11.44,23.55,34.98,372.14,10064.47159,8921.967742,1.702313301,440107,358444,14676,90872,7492,1764,116884,95658,8014,7483,12410,2886,578,821,6,6,Jun
re_edit,2025,7,81.13,4.03,12262,6.09,747,10.85,23.15,34,308.3,9555.910048,8528.98933,1.834060903,375451,304618,13392,79496,6886,1594,90246,76149,7272,6834,11016,2590,507,709,7,7,Jul
world,2024,1,81.07,1.79,371101,9.65,35804,8.33,13.84,22.17,498.91,17099.67019,15052.4091,1.677948951,25615380,20765539,286088,5097732,429813,59491,3108139,1734579,82003,73781,138422,134471,21113,23582,1,1,Jan
world,2024,2,81.15,1.74,298639,9.15,27311,9.23,14.39,23.63,593.56,15560.94909,13451.58832,1.400941901,21109869,17129795,233788,4251267,295737,42557,2723323,1540532,68288,61520,129057,97304,15680,17733,2,2,Feb
world,2024,3,81.19,1.75,275188,9.13,25129,9.86,13.59,23.45,635.3,15615.18569,13906.44775,1.317184378,19348620,15708925,217367,3599605,254857,34642,2787445,1655860,68124,61332,135863,90260,15121,15549,3,3,Mar
world,2024,4,81.98,2,345415,8.8,30394,9.43,13.4,22.83,509.41,14967.57794,13398.53255,1.5338566,21021913,17234279,241194,3836717,322446,43206,2811685,1696828,71811,64413,134625,105488,17198,17642,4,4,Apr
world,2024,5,82.1,1.97,314152,5.54,17389,7.11,12.99,20.11,352.34,15032.17606,12942.84669,1.257424307,19443397,15962660,216208,3429108,244486,31765,2787405,1736957,65843,59345,128608,83030,10245,13372,5,5,May
world,2024,6,82.4,1.96,346818,5.77,20023,5.73,13.02,18.75,260.38,16600.61891,14062.30568,1.624623732,21510273,17723900,238912,3992450,349461,45501,2809688,1676858,69940,62994,134305,109236,11686,17686,6,6,Jun
world,2024,7,81.85,1.66,289720,6.72,19478,5.36,13.84,19.21,299.74,14141.69079,12256.43983,1.703756002,21313674,17444482,220529,4118694,363133,50266,2789688,1647980,67321,61199,138457,115400,11584,20295,7,7,Jul
high-end brands,2024,Jan-Dec,,,4017030,,108275,,,,,,,,192320029,140316101,3634491,,799824,101223,,,,,,,,,1,12,Jan–Dec
multi-brand select shops,2024,Jan-Dec,,,21144839,,1031659,,,,,,,,1522804309,1095609681,17575176,,13022667,1870718,,,,,,,,,1,12,Jan–Dec